,Country,Year,Commodity,Flow,Trade (USD)
0,Algeria,2017,Articles of rare earths/metals nes,Import,281.64
1,Algeria,2016,Articles of rare earths/metals nes,Import,2372.0
2,Algeria,2015,Articles of rare earths/metals nes,Import,3252.0
3,Algeria,2014,Articles of rare earths/metals nes,Import,130.0
4,Algeria,2013,Articles of rare earths/metals nes,Import,2920.0
5,Algeria,2012,Articles of rare earths/metals nes,Import,155.0
6,Algeria,2011,Articles of rare earths/metals nes,Import,445.0
7,Algeria,2010,Articles of rare earths/metals nes,Import,22440.0
8,Algeria,2009,Articles of rare earths/metals nes,Import,574.0
9,Algeria,2008,Articles of rare earths/metals nes,Import,375.0
10,Algeria,2007,Articles of rare earths/metals nes,Import,11940.0
11,Algeria,2005,Articles of rare earths/metals nes,Import,329.0
12,Algeria,2004,Articles of rare earths/metals nes,Import,152.0
13,Algeria,2003,Articles of rare earths/metals nes,Import,674.0
14,Algeria,2002,Articles of rare earths/metals nes,Import,283.0
15,Algeria,2001,Articles of rare earths/metals nes,Import,1098.0
16,Algeria,1999,Articles of rare earths/metals nes,Import,154.0
17,Algeria,1998,Articles of rare earths/metals nes,Import,1139.0
18,Algeria,1997,Articles of rare earths/metals nes,Import,864.0
19,Algeria,1995,Articles of rare earths/metals nes,Import,149.0
20,Andorra,2013,Articles of rare earths/metals nes,Import,24.0
21,Angola,2018,Articles of rare earths/metals nes,Import,498.44
22,Angola,2016,Articles of rare earths/metals nes,Import,135.79
23,Angola,2015,Articles of rare earths/metals nes,Import,1418.67
24,Angola,2014,Articles of rare earths/metals nes,Import,6884.0
25,Angola,2013,Articles of rare earths/metals nes,Import,15138.0
26,Angola,2012,Articles of rare earths/metals nes,Import,7551.0
27,Angola,2011,Articles of rare earths/metals nes,Import,45384.0
28,Angola,2010,Articles of rare earths/metals nes,Import,25512.0
29,Angola,2009,Articles of rare earths/metals nes,Import,2381.0
30,Angola,2007,Articles of rare earths/metals nes,Import,818.0
31,Anguilla,2008,Articles of rare earths/metals nes,Import,15390.0
32,Anguilla,2007,Articles of rare earths/metals nes,Import,39586.0
33,Anguilla,2006,Articles of rare earths/metals nes,Import,666.0
34,Anguilla,2003,Articles of rare earths/metals nes,Import,20.0
35,Anguilla,2002,Articles of rare earths/metals nes,Import,388.0
36,Anguilla,2001,Articles of rare earths/metals nes,Import,156.0
37,Antigua and Barbuda,1999,Articles of rare earths/metals nes,Import,787.0
38,Argentina,2018,Articles of rare earths/metals nes,Import,13615.78
39,Argentina,2017,Articles of rare earths/metals nes,Import,3380.02
40,Argentina,2016,Articles of rare earths/metals nes,Import,9392.16
41,Argentina,2015,Articles of rare earths/metals nes,Import,45093.55
42,Argentina,2014,Articles of rare earths/metals nes,Import,49626.37
43,Argentina,2013,Articles of rare earths/metals nes,Import,16011.0
44,Argentina,2012,Articles of rare earths/metals nes,Import,18755.0
45,Argentina,2011,Articles of rare earths/metals nes,Import,19070.0
46,Argentina,2011,Articles of rare earths/metals nes,Export,300.0
