"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Algeria","2017","Articles of rare earths/metals nes","Import","281.64","36","Weight in kilograms","36"
"Algeria","2016","Articles of rare earths/metals nes","Import","2372","","No Quantity",""
"Algeria","2015","Articles of rare earths/metals nes","Import","3252","12","Weight in kilograms","12"
"Algeria","2014","Articles of rare earths/metals nes","Import","130","1","Weight in kilograms","1"
"Algeria","2013","Articles of rare earths/metals nes","Import","2920","","No Quantity",""
"Algeria","2012","Articles of rare earths/metals nes","Import","155","6","Weight in kilograms","6"
"Algeria","2011","Articles of rare earths/metals nes","Import","445","3","Weight in kilograms","3"
"Algeria","2010","Articles of rare earths/metals nes","Import","22440","7896","Weight in kilograms","7896"
"Algeria","2009","Articles of rare earths/metals nes","Import","574","24","Weight in kilograms","24"
"Algeria","2008","Articles of rare earths/metals nes","Import","375","1","Weight in kilograms","1"
"Algeria","2007","Articles of rare earths/metals nes","Import","11940","1716","Weight in kilograms","1716"
"Algeria","2005","Articles of rare earths/metals nes","Import","329","1","Weight in kilograms","1"
"Algeria","2004","Articles of rare earths/metals nes","Import","152","2","Weight in kilograms","2"
"Algeria","2003","Articles of rare earths/metals nes","Import","674","14","Weight in kilograms","14"
"Algeria","2002","Articles of rare earths/metals nes","Import","283","8","Weight in kilograms","8"
"Algeria","2001","Articles of rare earths/metals nes","Import","1098","11","Weight in kilograms","11"
"Algeria","1999","Articles of rare earths/metals nes","Import","154","5","Weight in kilograms","5"
"Algeria","1998","Articles of rare earths/metals nes","Import","1139","43","Weight in kilograms","43"
"Algeria","1997","Articles of rare earths/metals nes","Import","864","4","Weight in kilograms","4"
"Algeria","1995","Articles of rare earths/metals nes","Import","149","3","Weight in kilograms","3"
"Andorra","2013","Articles of rare earths/metals nes","Import","24","1","Weight in kilograms","1"
"Angola","2018","Articles of rare earths/metals nes","Import","498.44","281","Weight in kilograms","281"
"Angola","2016","Articles of rare earths/metals nes","Import","135.79","15","Weight in kilograms","60"
"Angola","2015","Articles of rare earths/metals nes","Import","1418.67","682","Weight in kilograms","15"
"Angola","2014","Articles of rare earths/metals nes","Import","6884","436","Weight in kilograms","436"
"Angola","2013","Articles of rare earths/metals nes","Import","15138","11407","Weight in kilograms","11407"
"Angola","2012","Articles of rare earths/metals nes","Import","7551","3474","Weight in kilograms","3474"
"Angola","2011","Articles of rare earths/metals nes","Import","45384","112651","Weight in kilograms","112651"
"Angola","2010","Articles of rare earths/metals nes","Import","25512","18742","Weight in kilograms","18742"
"Angola","2009","Articles of rare earths/metals nes","Import","2381","260","Weight in kilograms","260"
"Angola","2007","Articles of rare earths/metals nes","Import","818","1465","Weight in kilograms","1465"
"Anguilla","2008","Articles of rare earths/metals nes","Import","15390","5873","Weight in kilograms","5873"
"Anguilla","2007","Articles of rare earths/metals nes","Import","39586","3112","Weight in kilograms","3112"
"Anguilla","2006","Articles of rare earths/metals nes","Import","666","80","Weight in kilograms","80"
"Anguilla","2003","Articles of rare earths/metals nes","Import","20","","No Quantity",""
"Anguilla","2002","Articles of rare earths/metals nes","Import","388","","No Quantity",""
"Anguilla","2001","Articles of rare earths/metals nes","Import","156","1","Weight in kilograms","1"
"Antigua and Barbuda","1999","Articles of rare earths/metals nes","Import","787","51","Weight in kilograms","51"
"Argentina","2018","Articles of rare earths/metals nes","Import","13615.78","46.94","Weight in kilograms","46.94"
"Argentina","2017","Articles of rare earths/metals nes","Import","3380.02","4.81","Weight in kilograms","4.81"
"Argentina","2016","Articles of rare earths/metals nes","Import","9392.16","16.44","Weight in kilograms","16.44"
"Argentina","2015","Articles of rare earths/metals nes","Import","45093.55","28.91","Weight in kilograms","28.91"
"Argentina","2014","Articles of rare earths/metals nes","Import","49626.37","52.3","Weight in kilograms","52.3"
"Argentina","2013","Articles of rare earths/metals nes","Import","16011","19","Weight in kilograms","19"
"Argentina","2012","Articles of rare earths/metals nes","Import","18755","46","Weight in kilograms","46"
"Argentina","2011","Articles of rare earths/metals nes","Import","19070","24","Weight in kilograms","24"
"Argentina","2011","Articles of rare earths/metals nes","Export","300","1","Weight in kilograms","1"
"Argentina","2010","Articles of rare earths/metals nes","Import","75582","67","Weight in kilograms","67"
"Argentina","2009","Articles of rare earths/metals nes","Import","10103","6","Weight in kilograms","6"
"Argentina","2008","Articles of rare earths/metals nes","Import","16282","17","Weight in kilograms","17"
"Argentina","2007","Articles of rare earths/metals nes","Import","189226","5128","Weight in kilograms","5128"
"Argentina","2007","Articles of rare earths/metals nes","Export","361","2","Weight in kilograms","2"
"Argentina","2006","Articles of rare earths/metals nes","Import","19841","19","Weight in kilograms","19"
"Argentina","2005","Articles of rare earths/metals nes","Import","21407","18","Weight in kilograms","18"
"Argentina","2004","Articles of rare earths/metals nes","Import","7103","10","Weight in kilograms","10"
"Argentina","2003","Articles of rare earths/metals nes","Import","35744","47","Weight in kilograms","47"
"Argentina","2002","Articles of rare earths/metals nes","Import","1820","16","Weight in kilograms","16"
"Argentina","2001","Articles of rare earths/metals nes","Import","27029","2405","Weight in kilograms","2405"
"Argentina","2000","Articles of rare earths/metals nes","Import","14013","1714","Weight in kilograms","1714"
"Argentina","1999","Articles of rare earths/metals nes","Import","63772","11062","Weight in kilograms","11062"
"Argentina","1998","Articles of rare earths/metals nes","Import","76956","8750","Weight in kilograms","8750"
"Argentina","1998","Articles of rare earths/metals nes","Export","1329","20","Weight in kilograms","20"
"Argentina","1997","Articles of rare earths/metals nes","Import","30431","967","Weight in kilograms","967"
"Argentina","1996","Articles of rare earths/metals nes","Import","1896","60","Weight in kilograms","60"
"Argentina","1996","Articles of rare earths/metals nes","Export","1000","8","Weight in kilograms","8"
"Argentina","1995","Articles of rare earths/metals nes","Import","905","37","Weight in kilograms","37"
"Argentina","1994","Articles of rare earths/metals nes","Import","24797","308","Weight in kilograms","308"
"Argentina","1993","Articles of rare earths/metals nes","Import","3916","108","Weight in kilograms","108"
"Armenia","2019","Articles of rare earths/metals nes","Import","33288.58","63.18","Weight in kilograms","63.18"
"Armenia","2018","Articles of rare earths/metals nes","Import","90561.92","25180.21","Weight in kilograms","25180.21"
"Armenia","2017","Articles of rare earths/metals nes","Import","20806.59","12.62","Weight in kilograms","12.62"
"Armenia","2016","Articles of rare earths/metals nes","Import","268","1","Weight in kilograms","1"
"Armenia","2014","Articles of rare earths/metals nes","Import","799","1","Weight in kilograms","1"
"Armenia","2005","Articles of rare earths/metals nes","Import","766","1","Weight in kilograms","1"
"Armenia","2004","Articles of rare earths/metals nes","Import","454","0","Weight in kilograms","0"
"Armenia","2002","Articles of rare earths/metals nes","Import","67","0","Weight in kilograms","0"
"Aruba","2018","Articles of rare earths/metals nes","Import","613.407582","136.38","Weight in kilograms","136.38"
"Aruba","2017","Articles of rare earths/metals nes","Import","720.67011","358","Weight in kilograms","358"
"Aruba","2015","Articles of rare earths/metals nes","Import","1875","398","Weight in kilograms","398"
"Aruba","2014","Articles of rare earths/metals nes","Import","2219","64","Weight in kilograms","64"
"Aruba","2013","Articles of rare earths/metals nes","Import","13850","814","Weight in kilograms","814"
"Aruba","2012","Articles of rare earths/metals nes","Import","41654","1158","Weight in kilograms","1158"
"Aruba","2011","Articles of rare earths/metals nes","Import","60137","1214","Weight in kilograms","1214"
"Aruba","2010","Articles of rare earths/metals nes","Import","15116","2318","Weight in kilograms","2318"
"Aruba","2009","Articles of rare earths/metals nes","Import","17662","564","Weight in kilograms","564"
"Australia","2018","Articles of rare earths/metals nes","Import","1385405.98168112","","Weight in kilograms","4986.62396660982"
"Australia","2018","Articles of rare earths/metals nes","Export","38592.81677863","","Weight in kilograms","152.088368497735"
"Australia","2017","Articles of rare earths/metals nes","Import","1626345.64898808","39944.66","Weight in kilograms","39944.66"
"Australia","2017","Articles of rare earths/metals nes","Export","885.68889255","","Weight in kilograms","3.29519442632778"
"Australia","2016","Articles of rare earths/metals nes","Import","3713155","58402","Weight in kilograms","58402"
"Australia","2016","Articles of rare earths/metals nes","Export","15157","33","Weight in kilograms","33"
"Australia","2015","Articles of rare earths/metals nes","Import","3456064","45148","Weight in kilograms","45148"
"Australia","2015","Articles of rare earths/metals nes","Export","9311","6","Weight in kilograms","6"
"Australia","2014","Articles of rare earths/metals nes","Import","4396749","74938","Weight in kilograms","74938"
"Australia","2014","Articles of rare earths/metals nes","Export","12904","125","Weight in kilograms","125"
"Australia","2013","Articles of rare earths/metals nes","Import","8169568","131583","Weight in kilograms","131583"
"Australia","2013","Articles of rare earths/metals nes","Export","1262","9","Weight in kilograms","9"
"Australia","2012","Articles of rare earths/metals nes","Import","6473401","100233","Weight in kilograms","100233"
"Australia","2012","Articles of rare earths/metals nes","Export","74544","42005","Weight in kilograms","42005"
"Australia","2011","Articles of rare earths/metals nes","Import","4513335","88753","Weight in kilograms","88753"
"Australia","2011","Articles of rare earths/metals nes","Export","697","0","Weight in kilograms","0"
"Australia","2010","Articles of rare earths/metals nes","Import","1153765","26360","Weight in kilograms","26360"
"Australia","2009","Articles of rare earths/metals nes","Import","1518488","28008","Weight in kilograms","28008"
"Australia","2009","Articles of rare earths/metals nes","Export","48875","11818","Weight in kilograms","11818"
"Australia","2008","Articles of rare earths/metals nes","Import","2661187","62659","Weight in kilograms","62659"
"Australia","2007","Articles of rare earths/metals nes","Import","3330109","172491","Weight in kilograms","172491"
"Australia","2007","Articles of rare earths/metals nes","Export","95838","1077","Weight in kilograms","1077"
